group_id,group_description,epsilon,alpha,shared_ratio,row_type,test_subject,accuracy,n_test_samples,n_correct,mean_accuracy,std_accuracy,,shared_ratio,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
1,S1-S8 (2s paradigm),7,0,0,subject,1,0.7375,160,118,,,,all_mean_acc,47.2,46.4,46.5,46,45.6,45.3,45.1,44.1,42.4,37.3,2.5
1,S1-S8 (2s paradigm),7,0,0,subject,2,0.75625,160,121,,,,std,19.6,20.2,19.7,19.5,19.8,19.8,19.6,18.8,18.1,16.3,0
1,S1-S8 (2s paradigm),7,0,0,subject,3,0.8625,160,138,,,,kappa,0.458,0.451,0.451,0.447,0.442,0.439,0.437,0.426,0.409,0.357,0
1,S1-S8 (2s paradigm),7,0,0,subject,4,0.4875,160,78,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0,subject,5,0.3,160,48,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0,subject,6,0.49375,160,79,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0,subject,7,0.19375,160,31,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0,subject,8,0.56875,160,91,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0,summary,ALL,,8,,55,21.6,,,A05,A06,A07,A08,A09,,,,,,
1,S1-S8 (2s paradigm),7,0,0.1,subject,1,0.74375,160,119,,,,mean_acc,53.6,49.2,50.4,31.4,48,,,,,,
1,S1-S8 (2s paradigm),7,0,0.1,subject,2,0.70625,160,113,,,,std,21.5,19.4,26.5,13.4,17.6,,,,,,
1,S1-S8 (2s paradigm),7,0,0.1,subject,3,0.85,160,136,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.1,subject,4,0.49375,160,79,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.1,subject,5,0.2875,160,46,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.1,subject,6,0.43125,160,69,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.1,subject,7,0.18125,160,29,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.1,subject,8,0.5375,160,86,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.1,summary,ALL,,8,,52.9,21.5,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,subject,1,0.71875,160,115,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,subject,2,0.73125,160,117,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,subject,3,0.86875,160,139,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,subject,4,0.48125,160,77,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,subject,5,0.275,160,44,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,subject,6,0.4875,160,78,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,subject,7,0.2,160,32,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,subject,8,0.525,160,84,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,summary,ALL,,8,,53.6,21.5,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.3,subject,1,0.71875,160,115,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.3,subject,2,0.74375,160,119,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.3,subject,3,0.84375,160,135,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.3,subject,4,0.4875,160,78,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.3,subject,5,0.2625,160,42,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.3,subject,6,0.475,160,76,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.3,subject,7,0.19375,160,31,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.3,subject,8,0.5375,160,86,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.3,summary,ALL,,8,,53.3,21.5,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.4,subject,1,0.7125,160,114,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.4,subject,2,0.775,160,124,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.4,subject,3,0.81875,160,131,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.4,subject,4,0.48125,160,77,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.4,subject,5,0.26875,160,43,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.4,subject,6,0.425,160,68,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.4,subject,7,0.18125,160,29,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.4,subject,8,0.51875,160,83,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.4,summary,ALL,,8,,52.3,21.8,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.5,subject,1,0.7,160,112,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.5,subject,2,0.7,160,112,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.5,subject,3,0.8375,160,134,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.5,subject,4,0.4875,160,78,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.5,subject,5,0.2625,160,42,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.5,subject,6,0.48125,160,77,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.5,subject,7,0.1375,160,22,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.5,subject,8,0.54375,160,87,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.5,summary,ALL,,8,,51.9,21.8,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.6,subject,1,0.7,160,112,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.6,subject,2,0.73125,160,117,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.6,subject,3,0.825,160,132,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.6,subject,4,0.46875,160,75,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.6,subject,5,0.275,160,44,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.6,subject,6,0.45,160,72,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.6,subject,7,0.1375,160,22,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.6,subject,8,0.5625,160,90,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.6,summary,ALL,,8,,51.9,22,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.7,subject,1,0.69375,160,111,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.7,subject,2,0.70625,160,113,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.7,subject,3,0.7875,160,126,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.7,subject,4,0.46875,160,75,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.7,subject,5,0.2625,160,42,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.7,subject,6,0.46875,160,75,,,,,,,,,,,,,,,
