group_id,group_description,epsilon,alpha,shared_ratio,row_type,test_subject,accuracy,n_test_samples,n_correct,mean_accuracy,std_accuracy,,shared_ratio,0.0 ,0.1 ,0.2 ,0.3 ,0.4 ,0.5 ,0.6 ,0.7 ,0.8 ,0.9 ,1.0 
1,S1-S8 (2s paradigm),7,1,0,subject,1,0.7375,160,118,,,,all_mean_acc,47.5 ,46.5 ,46.4 ,46.4 ,46.0 ,45.9 ,45.9 ,45.6 ,44.5 ,43.1 ,43.3 
1,S1-S8 (2s paradigm),7,1,0,subject,2,0.75625,160,121,,,,std,19.9 ,19.9 ,19.3 ,20.0 ,19.6 ,19.2 ,19.1 ,19.5 ,19.1 ,18.8 ,18.8 
1,S1-S8 (2s paradigm),7,1,0,subject,3,0.8625,160,138,,,,kappa,0.461 ,0.452 ,0.450 ,0.450 ,0.446 ,0.445 ,0.445 ,0.442 ,0.430 ,0.417 ,0.418 
1,S1-S8 (2s paradigm),7,1,0,subject,4,0.4875,160,78,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0,subject,5,0.3,160,48,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0,subject,6,0.49375,160,79,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0,subject,7,0.19375,160,31,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0,subject,8,0.56875,160,91,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0,summary,ALL,,8,,55,21.6,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.1,subject,1,0.73125,160,117,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.1,subject,2,0.6875,160,110,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.1,subject,3,0.875,160,140,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.1,subject,4,0.46875,160,75,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.1,subject,5,0.3,160,48,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.1,subject,6,0.49375,160,79,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.1,subject,7,0.2125,160,34,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.1,subject,8,0.55,160,88,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.1,summary,ALL,,8,,54,20.7,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.2,subject,1,0.73125,160,117,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.2,subject,2,0.68125,160,109,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.2,subject,3,0.875,160,140,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.2,subject,4,0.46875,160,75,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.2,subject,5,0.3,160,48,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.2,subject,6,0.46875,160,75,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.2,subject,7,0.21875,160,35,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.2,subject,8,0.525,160,84,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.2,summary,ALL,,8,,53.4,20.6,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.3,subject,1,0.71875,160,115,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.3,subject,2,0.74375,160,119,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.3,subject,3,0.875,160,140,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.3,subject,4,0.4375,160,70,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.3,subject,5,0.2875,160,46,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.3,subject,6,0.44375,160,71,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.3,subject,7,0.2125,160,34,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.3,subject,8,0.54375,160,87,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.3,summary,ALL,,8,,53.3,21.7,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.4,subject,1,0.68125,160,109,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.4,subject,2,0.69375,160,111,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.4,subject,3,0.85625,160,137,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.4,subject,4,0.43125,160,69,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.4,subject,5,0.29375,160,47,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.4,subject,6,0.45625,160,73,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.4,subject,7,0.20625,160,33,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.4,subject,8,0.5625,160,90,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.4,summary,ALL,,8,,52.3,20.4,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.5,subject,1,0.725,160,116,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.5,subject,2,0.725,160,116,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.5,subject,3,0.8375,160,134,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.5,subject,4,0.4125,160,66,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.5,subject,5,0.3,160,48,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.5,subject,6,0.4125,160,66,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.5,subject,7,0.225,160,36,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.5,subject,8,0.53125,160,85,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.5,summary,ALL,,8,,52.1,20.7,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.6,subject,1,0.7,160,112,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.6,subject,2,0.68125,160,109,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.6,subject,3,0.86875,160,139,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.6,subject,4,0.4375,160,70,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.6,subject,5,0.29375,160,47,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.6,subject,6,0.43125,160,69,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.6,subject,7,0.21875,160,35,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.6,subject,8,0.51875,160,83,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.6,summary,ALL,,8,,51.9,20.5,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,subject,1,0.725,160,116,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,subject,2,0.6875,160,110,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,subject,3,0.8625,160,138,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,subject,4,0.41875,160,67,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,subject,5,0.26875,160,43,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,subject,6,0.45625,160,73,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,subject,7,0.1875,160,30,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,subject,8,0.5625,160,90,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,summary,ALL,,8,,52.1,21.7,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,subject,1,0.675,160,108,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,subject,2,0.625,160,100,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,subject,3,0.84375,160,135,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,subject,4,0.40625,160,65,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,subject,5,0.2625,160,42,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,subject,6,0.40625,160,65,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,subject,7,0.21875,160,35,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,subject,8,0.53125,160,85,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,summary,ALL,,8,,49.6,19.9,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.9,subject,1,0.71875,160,115,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.9,subject,2,0.59375,160,95,,,,,,,,,,,,,,,
