group_id,group_description,epsilon,alpha,shared_ratio,row_type,test_subject,accuracy,n_test_samples,n_correct,mean_accuracy,std_accuracy,,epsilon,1,3,5,7,10,15,20,30,50
1,S1-S8 (2s paradigm),1,0,0.2,subject,1,0.4,160,64,,,,all_mean_acc,29.3 ,43.3 ,45.8 ,46.0 ,46.8 ,46.5 ,46.5 ,44.6 ,34.0 
1,S1-S8 (2s paradigm),1,0,0.2,subject,2,0.4875,160,78,,,,std,12.3 ,18.3 ,19.4 ,19.0 ,19.8 ,20.0 ,19.8 ,19.3 ,15.4 
1,S1-S8 (2s paradigm),1,0,0.2,subject,3,0.49375,160,79,,,,kappa,0.275 ,0.419 ,0.445 ,0.446 ,0.454 ,0.451 ,0.451 ,0.431 ,0.323 
1,S1-S8 (2s paradigm),1,0,0.2,subject,4,0.31875,160,51,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),1,0,0.2,subject,5,0.075,160,12,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),1,0,0.2,subject,6,0.38125,160,61,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),1,0,0.2,subject,7,0.1,160,16,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),1,0,0.2,subject,8,0.425,160,68,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),1,0,0.2,summary,ALL,,8,,33.5,15.2,,,,,,,,,,,
1,S1-S8 (2s paradigm),3,0,0.2,subject,1,0.59375,160,95,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),3,0,0.2,subject,2,0.75,160,120,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),3,0,0.2,subject,3,0.75625,160,121,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),3,0,0.2,subject,4,0.45625,160,73,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),3,0,0.2,subject,5,0.25625,160,41,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),3,0,0.2,subject,6,0.475,160,76,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),3,0,0.2,subject,7,0.15625,160,25,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),3,0,0.2,subject,8,0.55625,160,89,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),3,0,0.2,summary,ALL,,8,,50,20,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,0,0.2,subject,1,0.7125,160,114,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,0,0.2,subject,2,0.7375,160,118,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,0,0.2,subject,3,0.8125,160,130,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,0,0.2,subject,4,0.43125,160,69,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,0,0.2,subject,5,0.2625,160,42,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,0,0.2,subject,6,0.4875,160,78,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,0,0.2,subject,7,0.15625,160,25,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,0,0.2,subject,8,0.55,160,88,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,0,0.2,summary,ALL,,8,,51.9,21.7,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,subject,1,0.7375,160,118,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,subject,2,0.68125,160,109,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,subject,3,0.84375,160,135,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,subject,4,0.49375,160,79,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,subject,5,0.28125,160,45,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,subject,6,0.5,160,80,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,subject,7,0.20625,160,33,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,subject,8,0.575,160,92,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,0,0.2,summary,ALL,,8,,54,20.4,,,,,,,,,,,
1,S1-S8 (2s paradigm),10,0,0.2,subject,1,0.71875,160,115,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),10,0,0.2,subject,2,0.73125,160,117,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),10,0,0.2,subject,3,0.88125,160,141,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),10,0,0.2,subject,4,0.48125,160,77,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),10,0,0.2,subject,5,0.3,160,48,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),10,0,0.2,subject,6,0.425,160,68,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),10,0,0.2,subject,7,0.23125,160,37,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),10,0,0.2,subject,8,0.5625,160,90,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),10,0,0.2,summary,ALL,,8,,54.1,21.1,,,,,,,,,,,
1,S1-S8 (2s paradigm),15,0,0.2,subject,1,0.73125,160,117,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),15,0,0.2,subject,2,0.71875,160,115,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),15,0,0.2,subject,3,0.88125,160,141,,,,,,,,,,,,,
